"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Château La Grande Barde"	"France"	"Bordeaux"	"Montagne-Saint-Emilion"	"rouge"	"2009"	"75 cl"	"2010-06-01"	"6.50"	"8.00"	"3"	"3"	"4"	"15"	"4"			"Euriware"	"En direct du producteur"
"Château La Tour de By"	"France"	"Bordeaux"	"Médoc"	"rouge"	"2010"	"75 cl"	"2010-09-01"	"11.25"	"15.00"	"9"	"12"	"4"	"15"	"4"			"Euriware"	"En direct du producteur"
"Château La Tour de By"	"France"	"Bordeaux"	"Médoc"	"rouge"	"2011"	"75 cl"	"2013-07-26"	"11.25"	"15.00"	"3"	"3"	"4"	"15"	"4"			"Euriware"	"En direct du producteur"
"Château La Tour de By"	"France"	"Bordeaux"	"Médoc"	"rouge"	"2007"	"75 cl"	"2013-08-01"	"0.00"	"14.00"	"0"	"1"	"4"	"15"	"4"			"Cadeau bureau"	"Cadeau"
"Château La Tour de By"	"France"	"Bordeaux"	"Médoc"	"rouge"	"2012"	"75 cl"	"2014-06-22"	"16.00"	"16.00"	"2"	"2"	"4"	"15"	"4"			"Euriware"	"En direct du producteur"
"Château La Tour de By"	"France"	"Bordeaux"	"Médoc"	"rouge"	"2012"	"1,5 l"	"2014-06-22"	"35.00"	"35.00"	"1"	"2"	"4"	"15"	"4"			"Euriware"	"En direct du producteur"
"Château Le Cleydoux - L'Excellence"	"France"	"Sud-Ouest"	"Monbazillac"	"blanc liquoreux"	"2009"	"75 cl"	"2013-12-27"	"0.00"	"0.00"	"0"	"1"	"3"	"20"	"3"				"Cadeau"
"Château Le Clos du Notaire - Notaris"	"France"	"Bordeaux"	"Côtes de Bourg"	"rouge"	"2005"	"75 cl"	"2014-01-17"	"0.00"	"12.00"	"0"	"1"	"4"	"10"	"4"			"Cadeau Charlotte"	"Cadeau"
"Château Léoville Barton"	"France"	"Bordeaux"	"Saint Julien"	"rouge"	"2010"	"75 cl"	"2014-01-17"	"140.00"	"140.00"	"1"	"1"	"4"	"25"	"4"			"Cave de Longchamp"	"Cadeau"
"Château Léoville Barton"	"France"	"Bordeaux"	"Saint Julien"	"rouge"	"2006"	"75 cl"	"2015-01-01"	"0.00"	"70.00"	"1"	"1"	"4"	"25"	"4"				"Non défini"
